cycle,out_valid,out_ready,in_frame,in_pass,in_y,in_x,out_data0,out_data1,out_data2,ch_done,row_cnt,col_cnt,row_odd,col_odd,win_valid,pixel_valid,prev_we,mem_we,pool_mem_addr,prev_reg0,prev_reg1,prev_reg2,pair0,pair1,pair2,mem_rd0,mem_rd1,mem_rd2,pool_valid,pool_ready,pool_data0,pool_data1,pool_data2,pool_ch_done,out_frame,out_pass,out_py,out_px,monitor_err
82,1,1,0,0,3,4,0,1681,0,0,3,4,1,0,0,1,1,0,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
83,1,1,0,0,3,5,0,1681,0,0,3,5,1,1,1,1,0,0,2,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,2,0
84,1,1,0,0,3,6,0,1681,0,0,3,6,1,0,0,1,1,0,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
85,1,1,0,0,3,7,0,1681,0,0,3,7,1,1,1,1,0,0,3,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,3,0
86,1,1,0,0,3,8,0,1681,0,0,3,8,1,0,0,1,1,0,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
87,1,1,0,0,3,9,0,1681,0,0,3,9,1,1,1,1,0,0,4,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,4,0
88,1,1,0,0,3,10,0,1595,0,0,3,10,1,0,0,1,1,0,5,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
89,1,1,0,0,3,11,0,481,0,0,3,11,1,1,1,1,0,0,5,0,1595,0,0,1595,0,0,1681,0,1,1,0,1681,0,0,0,0,1,5,0
90,1,1,0,0,3,12,0,0,0,0,3,12,1,0,0,1,1,0,6,0,1595,0,0,1595,0,0,175,0,0,1,0,1595,0,0,,,,,0
91,1,1,0,0,3,13,501,0,0,0,3,13,1,1,1,1,0,0,6,0,0,0,501,0,0,0,175,0,1,1,501,175,0,0,0,0,1,6,0
92,1,1,0,0,3,14,0,0,663,0,3,14,1,0,0,1,1,0,7,0,0,0,0,0,663,0,0,0,0,1,0,0,663,0,,,,,0
93,1,1,0,0,3,15,0,0,2615,0,3,15,1,1,1,1,0,0,7,0,0,663,0,0,2615,0,0,0,1,1,0,0,2615,0,0,0,1,7,0
94,1,1,0,0,3,16,0,0,3277,0,3,16,1,0,0,1,1,0,8,0,0,663,0,0,3277,0,0,1792,0,1,0,0,3277,0,,,,,0
95,1,1,0,0,3,17,0,0,3133,0,3,17,1,1,1,1,0,0,8,0,0,3277,0,0,3277,0,0,1792,1,1,0,0,3277,0,0,0,1,8,0
96,1,1,0,0,3,18,0,0,2489,0,3,18,1,0,0,1,1,0,9,0,0,3277,0,0,3277,0,1003,1269,0,1,0,1003,3277,0,,,,,0
97,1,1,0,0,3,19,0,183,466,0,3,19,1,1,1,1,0,0,9,0,0,2489,0,183,2489,0,1003,1269,1,1,0,1003,2489,0,0,0,1,9,0
98,1,1,0,0,3,20,0,1409,37,0,3,20,1,0,0,1,1,0,10,0,0,2489,0,1409,2489,0,1681,0,0,1,0,1681,2489,0,,,,,0
99,1,1,0,0,3,21,0,1681,0,0,3,21,1,1,1,1,0,0,10,0,1409,37,0,1681,37,0,1681,0,1,1,0,1681,37,0,0,0,1,10,0
100,1,1,0,0,3,22,0,1681,0,0,3,22,1,0,0,1,1,0,11,0,1409,37,0,1681,37,0,1681,0,0,1,0,1681,37,0,,,,,0
101,1,1,0,0,3,23,0,1681,0,0,3,23,1,1,1,1,0,0,11,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,11,0
102,1,1,0,0,3,24,0,1681,0,0,3,24,1,0,0,1,1,0,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
103,1,1,0,0,3,25,0,1681,0,0,3,25,1,1,1,1,0,0,12,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,12,0
104,1,1,0,0,4,0,0,1681,0,0,4,0,0,0,0,1,1,0,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
105,1,1,0,0,4,1,0,1681,0,0,4,1,0,1,0,1,0,1,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
106,1,1,0,0,4,2,0,1681,0,0,4,2,0,0,0,1,1,0,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
107,1,1,0,0,4,3,0,1681,0,0,4,3,0,1,0,1,0,1,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
108,1,1,0,0,4,4,0,1681,0,0,4,4,0,0,0,1,1,0,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
109,1,1,0,0,4,5,0,1681,0,0,4,5,0,1,0,1,0,1,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
110,1,1,0,0,4,6,0,1681,0,0,4,6,0,0,0,1,1,0,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
111,1,1,0,0,4,7,0,1681,0,0,4,7,0,1,0,1,0,1,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
112,1,1,0,0,4,8,0,1681,0,0,4,8,0,0,0,1,1,0,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
113,1,1,0,0,4,9,0,1681,0,0,4,9,0,1,0,1,0,1,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
114,1,1,0,0,4,10,0,1332,0,0,4,10,0,0,0,1,1,0,5,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
115,1,1,0,0,4,11,119,0,0,0,4,11,0,1,0,1,0,1,5,0,1332,0,119,1332,0,0,1681,0,0,1,119,1681,0,0,,,,,0
116,1,1,0,0,4,12,875,0,0,0,4,12,0,0,0,1,1,0,6,0,1332,0,875,1332,0,0,175,0,0,1,875,1332,0,0,,,,,0
117,1,1,0,0,4,13,1030,0,1581,0,4,13,0,1,0,1,0,1,6,875,0,0,1030,0,1581,0,175,0,0,1,1030,175,1581,0,,,,,0
118,1,1,0,0,4,14,804,0,3965,0,4,14,0,0,0,1,1,0,7,875,0,0,875,0,3965,0,0,0,0,1,875,0,3965,0,,,,,0
119,1,1,0,0,4,15,1617,0,6053,0,4,15,0,1,0,1,0,1,7,804,0,3965,1617,0,6053,0,0,0,0,1,1617,0,6053,0,,,,,0
120,1,1,0,0,4,16,1838,0,6312,0,4,16,0,0,0,1,1,0,8,804,0,3965,1838,0,6312,0,0,1792,0,1,1838,0,6312,0,,,,,0
121,1,1,0,0,4,17,0,0,4885,0,4,17,0,1,0,1,0,1,8,1838,0,6312,1838,0,6312,0,0,1792,0,1,1838,0,6312,0,,,,,0
122,1,1,0,0,4,18,0,0,2974,0,4,18,0,0,0,1,1,0,9,1838,0,6312,1838,0,6312,0,1003,1269,0,1,1838,1003,6312,0,,,,,0
123,1,1,0,0,4,19,0,452,766,0,4,19,0,1,0,1,0,1,9,0,0,2974,0,452,2974,0,1003,1269,0,1,0,1003,2974,0,,,,,0
124,1,1,0,0,4,20,0,1373,143,0,4,20,0,0,0,1,1,0,10,0,0,2974,0,1373,2974,0,1681,0,0,1,0,1681,2974,0,,,,,0
125,1,1,0,0,4,21,0,1681,0,0,4,21,0,1,0,1,0,1,10,0,1373,143,0,1681,143,0,1681,0,0,1,0,1681,143,0,,,,,0
126,1,1,0,0,4,22,0,1681,0,0,4,22,0,0,0,1,1,0,11,0,1373,143,0,1681,143,0,1681,0,0,1,0,1681,143,0,,,,,0
127,1,1,0,0,4,23,0,1681,0,0,4,23,0,1,0,1,0,1,11,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
128,1,1,0,0,4,24,0,1681,0,0,4,24,0,0,0,1,1,0,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
129,1,1,0,0,4,25,0,1681,0,0,4,25,0,1,0,1,0,1,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
130,1,1,0,0,5,0,0,1681,0,0,5,0,1,0,0,1,1,0,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
131,1,1,0,0,5,1,0,1681,0,0,5,1,1,1,1,1,0,0,0,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,2,0,0
132,1,1,0,0,5,2,0,1681,0,0,5,2,1,0,0,1,1,0,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
133,1,1,0,0,5,3,0,1681,0,0,5,3,1,1,1,1,0,0,1,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,2,1,0
134,1,1,0,0,5,4,0,1681,0,0,5,4,1,0,0,1,1,0,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
135,1,1,0,0,5,5,0,1681,0,0,5,5,1,1,1,1,0,0,2,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,2,2,0
136,1,1,0,0,5,6,0,1681,0,0,5,6,1,0,0,1,1,0,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
137,1,1,0,0,5,7,0,1681,0,0,5,7,1,1,1,1,0,0,3,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,2,3,0
138,1,1,0,0,5,8,0,1664,0,0,5,8,1,0,0,1,1,0,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
139,1,1,0,0,5,9,0,1523,0,0,5,9,1,1,1,1,0,0,4,0,1664,0,0,1664,0,0,1681,0,1,1,0,1681,0,0,0,0,2,4,0
140,1,1,0,0,5,10,0,0,0,0,5,10,1,0,0,1,1,0,5,0,1664,0,0,1664,0,119,1332,0,0,1,119,1664,0,0,,,,,0
141,1,1,0,0,5,11,1136,0,0,0,5,11,1,1,1,1,0,0,5,0,0,0,1136,0,0,119,1332,0,1,1,1136,1332,0,0,0,0,2,5,0
142,1,1,0,0,5,12,250,0,777,0,5,12,1,0,0,1,1,0,6,0,0,0,250,0,777,1030,0,1581,0,1,1030,0,1581,0,,,,,0
143,1,1,0,0,5,13,16,0,3919,0,5,13,1,1,1,1,0,0,6,250,0,777,250,0,3919,1030,0,1581,1,1,1030,0,3919,0,0,0,2,6,0
144,1,1,0,0,5,14,1353,0,5920,0,5,14,1,0,0,1,1,0,7,250,0,777,1353,0,5920,1617,0,6053,0,1,1617,0,6053,0,,,,,0
145,1,1,0,0,5,15,2832,0,7108,0,5,15,1,1,1,1,0,0,7,1353,0,5920,2832,0,7108,1617,0,6053,1,1,2832,0,7108,0,0,0,2,7,0
146,1,1,0,0,5,16,2678,1250,7047,0,5,16,1,0,0,1,1,0,8,1353,0,5920,2678,1250,7047,1838,0,6312,0,1,2678,1250,7047,0,,,,,0
147,1,1,0,0,5,17,1622,2257,5207,0,5,17,1,1,1,1,0,0,8,2678,1250,7047,2678,2257,7047,1838,0,6312,1,1,2678,2257,7047,0,0,0,2,8,0
148,1,1,0,0,5,18,1416,2003,2686,0,5,18,1,0,0,1,1,0,9,2678,1250,7047,2678,2003,7047,0,452,2974,0,1,2678,2003,7047,0,,,,,0
149,1,1,0,0,5,19,0,1826,680,0,5,19,1,1,1,1,0,0,9,1416,2003,2686,1416,2003,2686,0,452,2974,1,1,1416,2003,2974,0,0,0,2,9,0
150,1,1,0,0,5,20,0,1652,123,0,5,20,1,0,0,1,1,0,10,1416,2003,2686,1416,2003,2686,0,1681,143,0,1,1416,2003,2686,0,,,,,0
151,1,1,0,0,5,21,0,1681,0,0,5,21,1,1,1,1,0,0,10,0,1652,123,0,1681,123,0,1681,143,1,1,0,1681,143,0,0,0,2,10,0
152,1,1,0,0,5,22,0,1681,0,0,5,22,1,0,0,1,1,0,11,0,1652,123,0,1681,123,0,1681,0,0,1,0,1681,123,0,,,,,0
153,1,1,0,0,5,23,0,1681,0,0,5,23,1,1,1,1,0,0,11,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,2,11,0
154,1,1,0,0,5,24,0,1681,0,0,5,24,1,0,0,1,1,0,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
155,1,1,0,0,5,25,0,1681,0,0,5,25,1,1,1,1,0,0,12,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,2,12,0
156,1,1,0,0,6,0,0,1681,0,0,6,0,0,0,0,1,1,0,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
157,1,1,0,0,6,1,0,1681,0,0,6,1,0,1,0,1,0,1,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
158,1,1,0,0,6,2,0,1681,0,0,6,2,0,0,0,1,1,0,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
159,1,1,0,0,6,3,0,1681,0,0,6,3,0,1,0,1,0,1,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
160,1,1,0,0,6,4,0,1681,0,0,6,4,0,0,0,1,1,0,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
161,1,1,0,0,6,5,0,1681,0,0,6,5,0,1,0,1,0,1,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
162,1,1,0,0,6,6,0,1681,0,0,6,6,0,0,0,1,1,0,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
163,1,1,0,0,6,7,0,1681,0,0,6,7,0,1,0,1,0,1,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
164,1,1,0,0,6,8,0,1299,0,0,6,8,0,0,0,1,1,0,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
